key,text,encoded_hex,cell_count,missing
bio_1039F1,[loi extract],5BF361F4B75D,2,
bio_103A65,Va nhuong Xu Chau cho Luu Bi quan ly,F075F26BEFFEF5A6F56BF351F5DFF1F3F34D,9,
bio_103AA5,[loi extract],5BF361F4B75D,2,
bio_103AAD,Ban dau khong phuc Chu Du con tre,F5EBF4EBF3C4F1FCF562F4CAF551F0CF,8,
bio_103B21,[loi extract],5BF361F4B75D,2,
bio_103B29,Thuong lam su gia den Dong Ngo,F140F3A8F1BAF4A1F4E5F4CEF2BD,7,
bio_103B69,Cuoi cung bi Tao Thao ghen tuong ma chem dau,F547F549F5DEF1A6F168F4ACF0A5F34AF57CF4EB,10,
bio_103BEB,[loi extract],5BF361F4B75D,2,
bio_103BF1,Rat hieu ro cach danh tran cua Tao Thao,F1E4F451F1E1F5C3F4F2F0D3F54BF1A6F168,9,
bio_103C95,Luc Quan Vu bi vay Mai Thanh den Thuong Dung cau vien bi tu choi,F359F1F4F057F5DEF06BF348F16AF4E5F140F4C3F5B5F062F5DEF0B1F568,15,
bio_103CF9,Khi Luu Bi cung duong tan cung thi cuu giup ong,F3D6F351F5DFF549F4BCF1AAF549F15CF540F46FF256,11,
bio_103D65,Luc dau Luu Bi dinh nhan nuoi ong,F359F4EBF351F5DFF4D7F27EF25DF256,8,
bio_103DDD,[loi extract],5BF361F4B75D,2,
bio_103DE5,Nho thi hanh chinh nhan ai,F273F15CF45FF56EF27EF5F9,6,
bio_103E20,Luu Chuong,F351F558,2,
bio_103E25,Cuoi cung vi dan chung ma mo thanh dau hang,F547F549F067F4F6F55AF34AF2EDF169F4EBF460,10,
bio_103EA1,[loi extract],5BF361F4B75D,2,
bio_103EAC,Cung Thai Muu nam quyen thuc te Kinh Chau,F54AF173F2DDF2D9F1EAF145F179F3B7F5A6,9,
bio_103F19,[loi extract],5BF361F4B75D,2,
bio_103F21,Khong chiu dau hang quy huong bac tu an tu,F3C6F56DF4EBF460F1ECF3F0F5EEF0B1F5F5F0B1,10,
bio_103F9F,[loi extract],5BF361F4B75D,2,
bio_103FA5,Khi giao chien voi Luu Bi lap nhieu cong lon,F3D6F478F574F05CF351F5DFF37AF275F54FF360,10,
bio_103FDF,[loi extract],5BF361F4B75D,2,
bio_103FE5,Nen truoc khi chet K.M.Luong di chuc Tuong Hoan lam thua tuong,F2D1F0B7F3D5F57BF3E72EF34C2EF353F4E2F55CF0A7F448F3A8F14AF0A5,14,
bio_10404B,[loi extract],5BF361F4B75D,2,
bio_104051,Khien Tao Thao giet Thai Muu va thuy doc,F3D2F1A6F168F475F173F2DDF074F0FCF4D2,9,
bio_1040DC,Thai Muu,F173F2DD,2,
bio_104181,Gia Cat Can,F4A2F5B7F5BF,3,
bio_10418C,Tung nhieu lan lam su gia den Thuc Han,F0A9F275F3A3F3A8F1BAF4A1F4E5F146F463,9,
bio_10426D,[loi extract],5BF361F4B75D,2,
bio_104275,Sau khi Luu Bi chet duoc Gia Cat Luong trong dung,F1CEF3D5F351F5DFF57BF4BFF4A2F5B7F353F0BEF4C2,11,
bio_1042DD,Thuong cap cho Luu Bi nhieu tien bac,F140F5B8F56BF351F5DFF275F0F4F5EE,8,
bio_104329,La nguyen lao ba doi cua Dong Ngo,F3B1F2AAF37BF5F0F4D1F54BF4CEF2BD,8,
bio_104371,Tung cung Ma Dang tan cong Ly Tac o Truong An,F0A9F549F34BF4F5F1AAF54FF34EF1B1F25BF0B6F5F6,11,
bio_104405,[loi extract],5BF361F4B75D,2,
bio_10440D,Nhung sau bi Quan Vu mot dao giet tren ngua,F26EF1CDF5DEF1F4F057F2E5F4EFF475F0CDF2B1,10,
bio_104489,Vi bao thu cha ma giao chien voi Dong Ngo,F068F5E6F14CF5AFF34AF478F574F05CF4CEF2BD,10,
bio_1049A1,[loi extract],5BF361F4B75D,2,
bio_1049AB,Khong xam pham lan nhau,F3C6F04DF250F3A3F279,5,
bio_1049DA,[loi extract],5BF361F4B75D,2,
bio_1049EA,[loi extract],5BF361F4B75D,2,
bio_1049FA,[loi extract],5BF361F4B75D,2,
bio_104A0A,[loi extract],5BF361F4B75D,2,
bio_104A18,Lien minh dong minh,F36FF2EFF4CDF2EF,4,
bio_104A1D,[loi extract],5BF361F4B75D,2,
bio_104B4F,Gioi thieu nhan vat,F474F156F27EF06C,4,
bio_104B61,[loi extract],5BF361F4B75D,2,
bio_104BD5,Hay chon quan huyen muc tieu do tham,F45AF566F1F3F3EAF2E1F0EDF4D5F170,8,
bio_104C1B,[loi extract],5BF361F4B75D,2,
bio_104C82,Hay chon tuong phu trach tim kiem nhan tai,F45AF566F0A5F1FEF0D7F0ECF3BEF27EF1AE,9,
bio_104CAC,Chuyen trang,F555F0D1,2,
bio_104D40,Quan ta thieu luong thao,F1F4F1B2F156F352F167,5,
bio_104D71,Du suc chien lau dai voi dich tren nui rung,F4CAF1B7F574F379F4FAF05CF4E0F0CDF260F1DD,10,
bio_104DA9,Chi huy van quan tat co sai sot,F57AF3ECF071F1F3F17EF552F1D6F1BD,8,
bio_104DF0,Quan doi khong luyen tap,F1F4F4D1F3C4F34FF1A2,5,
bio_104E1B,Thanh nay sap giet ngua de an,F16AF2D3F1D0F475F2B1F4E7F5F5,7,
bio_104E8F,Ban chat khong phai viec than nen ban,F5EBF5A7F3C4F252F065F16EF2D0F5EA,8,
bio_104EF7,Neu minh cong cu mot tuong lam thai thu,F2CFF2EFF54FF54CF2E5F0A5F3A8F172F14C,9,
bio_104F47,Sai lam la goc re lam nuoc lung lay,F1D7F3A8F3B0F46EF1E2F3A8F25EF356F378,9,
bio_104F64,Nguoi nay chac khong phu mong doi cua chu cong,F2AEF2D3F5ADF3C4F1FEF2E7F4D1F54BF561F54F,10,
bio_104F7B,Neu dung nguoi nay nuoc chac loan,F2CFF4C2F2ADF2D3F25EF5ADF364,7,
bio_104F9B,Chac tuong si tan tam phuc vu,F5AEF0A5F1C7F1AAF1ACF1FCF056,7,
bio_104FD7,Tien co han tap quan vo dung,F0F5F552F462F1A2F1F3F05DF4C2,7,
city_0FCDA0,Huong Binh,F3F1F5D4,2,
city_0FCDA8,Bac Binh,F5EFF5D4,2,
city_0FCDB8,Tan Duong,F1ABF4BD,2,
city_0FCDC0,Nam Pi,F2DAF1F8,2,
city_0FCDC8,Binh Nguyen,F5D4F2AB,2,
city_0FCDD8,Bac Hai,F5EFF466,2,
city_0FCDE0,Phuc Duong,F1FDF4BD,2,
city_0FCDE8,Tran Luu,F0D4F351,2,
city_0FCDF0,Lac Duong,F3AFF4BD,2,
city_0FCDF8,Hong Nong,F3FCF264,2,
city_0FCE00,Truong An,F0B6F5F6,2,
city_0FCE08,An Dinh,F5F6F4D8,2,
city_0FCE10,Thien Thuy,F15BF0FD,2,
city_0FCE18,Tay Luong,F17CF353,2,
city_0FCE20,Ha Bi,F46AF5DF,2,
city_0FCE28,Tu Chau,F0B3F5A6,2,
city_0FCE38,Nhu Nam,F272F2DA,2,
city_0FCE48,Tan Da,F1ABF4FE,2,
city_0FCE50,Tuong Duong,F0A7F4BD,2,
city_0FCE58,Thuong Ung,F140F07E,2,
city_0FCE60,Giang Ha,F47AF46A,2,
city_0FCE68,Giang Lang,F47AF3A2,2,
city_0FCE70,Vo Lang,F05EF3A2,2,
city_0FCE78,Truong Sa,F0B6F1DB,2,
city_0FCE80,Quy Duong,F1EDF4BD,2,
city_0FCE88,Linh Lang,F36AF3A2,2,
city_0FCE90,Tho Xuan,F154EFFC,2,
city_0FCE98,Kien Nghiep,F3BCF2C0,2,
city_0FCEA8,Hoi Ke,F443F3E5,2,
city_0FCEB0,Lu Giang,F35DF47A,2,
city_0FCEB8,Sai Sang,F1D7F1D4,2,
city_0FCEC0,Han Trung,F463F0B9,2,
city_0FCEC8,Ha Ben,F46AF5E2,2,
city_0FCED0,Tu Dong,F0B3F4CE,2,
city_0FCED8,Thanh Do,F16AF4D6,2,
city_0FCEE0,Vinh An,F060F5F6,2,
city_0FCEE8,Giang Chau,F47AF5A6,2,
city_0FCEF0,Kien Ninh,F3BCF268,2,
city_0FCEF8,Van Nam,F072F2DA,2,
city_0FCF00,Nam Hai,F2DAF466,2,
city_0FCF08,Di Chau,F4E3F5A6,2,
city_0FCF28,Dong Phong,F4CEF242,2,
city_map_110DB8,Huong Binh,F3F1F5D4,2,
city_map_110E40,Bac Binh,F5EFF5D4,2,
city_map_110F50,Tan Duong,F1ABF4BD,2,
city_map_110FD8,Nam Pi,F2DAF1F8,2,
city_map_111060,Binh Nguyen,F5D4F2AB,2,
city_map_111170,Bac Hai,F5EFF466,2,
city_map_1111F8,Phuc Duong,F1FDF4BD,2,
city_map_111280,Tran Luu,F0D4F351,2,
city_map_111308,Lac Duong,F3AFF4BD,2,
city_map_111390,Hong Nong,F3FCF264,2,
city_map_111418,Truong An,F0B6F5F6,2,
city_map_1114A0,An Dinh,F5F6F4D8,2,
city_map_111528,Thien Thuy,F15BF0FD,2,
city_map_1115B0,Tay Luong,F17CF353,2,
city_map_111638,Ha Bi,F46AF5DF,2,
city_map_1116C0,Tu Chau,F0B3F5A6,2,
city_map_111748,Hu Xuong,F3F9EFF6,2,
city_map_111858,Nhu Nam,F272F2DA,2,
city_map_111968,Tan Da,F1ABF4FE,2,
city_map_1119F0,Tuong Duong,F0A7F4BD,2,
city_map_111A78,Thuong Ung,F140F07E,2,
city_map_111B00,Giang Ha,F47AF46A,2,
city_map_111B88,Giang Lang,F47AF3A2,2,
city_map_111C10,Vo Lang,F05EF3A2,2,
city_map_111C98,Truong Sa,F0B6F1DB,2,
city_map_111D20,Quy Duong,F1EDF4BD,2,
city_map_111DA8,Linh Lang,F36AF3A2,2,
city_map_111E30,Tho Xuan,F154EFFC,2,
city_map_111EB8,Kien Nghiep,F3BCF2C0,2,
city_map_111FC8,Hoi Ke,F443F3E5,2,
city_map_112050,Lu Giang,F35DF47A,2,
city_map_1120D8,Sai Sang,F1D7F1D4,2,
city_map_112160,Han Trung,F463F0B9,2,
city_map_1121E8,Ha Ben,F46AF5E2,2,
city_map_112270,Tu Dong,F0B3F4CE,2,
city_map_1122F8,Thanh Do,F16AF4D6,2,
city_map_112380,Vinh An,F060F5F6,2,
city_map_112408,Giang Chau,F47AF5A6,2,
city_map_112490,Kien Ninh,F3BCF268,2,
city_map_112518,Van Nam,F072F2DA,2,
city_map_1125A0,Nam Hai,F2DAF466,2,
city_map_112628,Di Chau,F4E3F5A6,2,
dialogue_105000,Hay mau chiem dan binh,F45AF2FAF576F4F6F5D3,5,
dialogue_105023,Them tru thue nang va cac khoan dong gop,F160F0BCF143F2D7F074F5C6F3CBF4CDF46C,9,
dialogue_105073,Quan ta se nhan vien tro lien tuc,F1F4F1B2F1C9F27EF062F0C3F36EF0AE,8,
dialogue_1050A5,La nguyen nhan song chet cua tam quan,F3B1F2AAF27EF1BEF57BF54BF1ACF1F3,8,
dialogue_1050E3,La chia khoa chien thang,F3B1F578F3CEF574F16B,5,
dialogue_105101,Dam lam nhu vay,F4F9F3A8F271F06B,4,
dialogue_105125,UNK,F07C,1,
dialogue_1051C8,Hay chon tuong dan quan xuat chinh,F45AF566F0A5F4F6F1F3EFFAF56E,7,
dialogue_10528B,So luong lua mang theo,F1C5F352F35BF343F15D,5,
dialogue_1052CC,Hay chon doi van chuyen luong thao,F45AF566F4D1F071F554F352F167,7,
dialogue_1052E8,Hay chi dinh tuong huan luyen quan,F45AF579F4D7F0A5F3F5F34FF1F3,7,
dialogue_105300,Hay chi dinh tuong van bu vat tu,F45AF579F4D7F0A5F071F5CDF06CF0B1,8,
dialogue_10531F,Toi da nhieu tuong,F0E2F4FDF275F0A5,4,
dialogue_105368,Hay chon vu khi muon che tao,F45AF566F056F3D5F2DEF57DF1A5,7,
dialogue_10537F,Tuong chiem binh,F0A7F576F5D3,3,
dialogue_105393,Tuong thuc hien muu binh,F0A7F145F453F2DCF5D3,5,
dialogue_1053B0,Hay chon tuong thuc hien the binh,F45AF566F0A5F145F453F161F5D3,7,
dialogue_1053CB,Chon tuong phan bo lai binh si,F567F0A5F24EF5D1F3ACF5D3F1C7,7,
dialogue_105418,Khong hieu ly tri tri quoc,F3C6F451F34DF0CAF0CAF1EE,6,
dialogue_105493,Sao co binh thua cho don dien,F1D2F552F5D3F14AF56BF4CFF4DD,7,
dialogue_1054B7,Sau vai nam duoc tram van ho lua,F1CEF073F2D9F4BFF0D5F071F44EF35B,8,
dialogue_1054EB,Hoa vat kho van xa,F44DF06CF3CFF071F04F,5,
dialogue_105519,Chac chan du tru quan nhu,F5AEF5ABF4C9F0BCF1F3F271,6,
dialogue_10554E,Khong thong chinh su,F3C6F14EF56EF1BA,4,
dialogue_105567,Co the tich tru quan luong lon,F553F161F0F6F0BCF1F3F352F360,7,
dialogue_105593,Dung tien thua sua thanh kho giu,F4C3F0F4F14AF1B9F169F3CFF471,7,
dialogue_1055BF,Ke dich kho long chiem,F3E5F4E0F3CFF35EF576,5,
dialogue_1055F5,Phat tan quan luong cuu dan luu lac,F24BF1AAF1F3F352F540F4F6F350F3AE,8,
dialogue_10561B,Dan la goc quoc gia,F4F7F3B0F46EF1EEF4A1,5,
dialogue_105634,Nay minh cong vi mot no gian hai dan chung,F2D4F2EFF54FF067F2E5F267F47BF465F4F6F55A,10,
dialogue_1056CB,Khoc kho dinh tue va thue cho dan,F3C9F3CFF4D7F0ADF074F143F56BF4F6,8,
dialogue_10574B,Luc nay mot ho lua den hang chuc van,F359F2D3F2E5F44EF35BF4E5F460F55CF071,9,
dialogue_105789,UNK,F07C,1,
dialogue_10579C,Tich luong chuan bi chien la thuong sach,F0F7F352F55EF5DEF574F3B0F0FEF1D8,8,
dialogue_1057B1,Ban lua de chuan bi quan tu,F5EBF35BF4E7F55EF5DEF1F3F0B1,7,
dialogue_1057C9,Chi dung vu khi phong thuong,F57AF4C2F056F3D5F241F0FE,6,
dialogue_1057E1,Kiem tang anh hung,F3BFF1A7F5F3F3F2,4,
dialogue_1057FE,Luc nay mua nu la khong sang,F359F2D3F2E2F262F3B0F3C4F1D3,7,
dialogue_105813,Muon ban xa phai cam nu luyen tap,F2DFF5EAF04FF252F5C0F262F34FF1A2,8,
dialogue_105848,Va muon lam lan nhu,F075F2DEF3A8F3A3F271,5,
dialogue_10586D,Day la ngua Dai Uyen tot cua Tay Vuc,F4EAF3B0F2B1F4FBF076F0DCF54BF17CF055,9,
dialogue_105899,Hay chi dinh tuong khai phat dat,F45AF579F4D7F0A5F3DDF24AF4ED,7,
dialogue_1058CD,Tuong phat trien,F0A7F24AF0C9,3,
dialogue_1058E5,Hay chon tuong tri thuy chong hong,F45AF566F0A5F0CAF0FCF564F3FB,7,
dialogue_105904,Hay chi dinh tuong day cung tuong,F45AF579F4D7F0A5F4E9F549F0A5,7,
dialogue_10593D,Hay chi dinh tuong thieu sat cuop pha,F45AF579F4D7F0A5F156F1CFF542F254,8,
dialogue_105987,Dieu chinh thue suat moi la,F4DAF56EF143F1B8F2EAF3B0,6,
dialogue_10599D,Hay chon hang hoa muon giao dich,F45AF566F460F44CF2DEF478F4E0,7,
dialogue_1059B8,Hay phai tuong mua lua,F45AF252F0A5F2E2F35B,5,
dialogue_1059DD,Hay chi dinh tuong mua vu khi tuong,F45AF579F4D7F0A5F2E2F056F3D5F0A5,8,
dialogue_1059F9,Hay chi dinh tuong mua nu tien,F45AF579F4D7F0A5F2E2F262F0F4,7,
dialogue_105A11,Hay chi dinh tuong mua ngua,F45AF579F4D7F0A5F2E2F2B1,6,
dialogue_105A2C,Loai ke xa lan kho thanh cong,F366F3E4F04FF3A3F3CFF169F54F,7,
dialogue_105A5F,Thanh su thi khong co tuong manh tro giup,F16AF1BAF15CF3C4F552F0A5F341F0C3F46F,9,
dialogue_105ABF,Chu ta dac mang thu mat den,F562F1B2F4FCF343F14CF2FCF4E5,7,
dialogue_105ADC,Dam do lo do thi tran ta,F4F9F4D5F367F4D5F15CF0D3F1B2,7,
dialogue_105AFD,UNK,F07C,1,
dialogue_105B13,Ke gian muon chia re hai ta,F3E5F47BF2DEF578F1E2F465F1B2,7,
dialogue_105B2D,Ta quyet khong lam viec bat nghia nay,F1B4F1E8F3C4F3A8F065F5E4F2C2F2D3,8,
dialogue_105B8C,Chu cong dung mot thu khich dong ho,F562F54FF4C2F2E5F14CF3D4F4CDF44E,8,
dialogue_105BE2,Quan than dong long,F1F4F16EF4CDF35E,4,
dialogue_105C17,Ngai co quan chung ngan dam,F2CCF552F1F3F55AF2CAF4F8,6,
dialogue_105C53,Ai theo ta o day,F5FAF15DF1B2F25BF4E9,5,
dialogue_105C87,Sao lam viec phan chu,F1D2F3A8F065F24EF561,5,
dialogue_105CA9,Tieu ky nay chac bi phat hien,F0EEF3B2F2D3F5ADF5DEF24AF453,7,
dialogue_105CDD,Ke nay se khien ke tu giet nhau,F3E5F2D3F1C9F3D1F3E4F0B1F475F279,8,
dialogue_105D0F,Neu thay cho yeu tren thu,F2CFF163F56BEFF0F0CDF14C,6,
dialogue_105DC5,Rat hay,F1E4F459,2,
dialogue_105DD3,Sao xoa lam roi het,F1D2F042F3A8F1E0F457,5,
dialogue_105DE9,UNK,F07C,1,
dialogue_105E01,Chac la ngai so ta biet chi tiet,F5AEF3B0F2CBF1C4F1B2F5D9F579F0EF,8,
dialogue_105E55,Tieu ky muon lua ta,F0EEF3B2F2DEF35BF1B2,5,
dialogue_105E70,Du tri da muu,F4CAF0CAF4FDF2DC,4,
dialogue_105E87,Tru di mot dai hoan trong long,F0BDF4E2F2E5F4FAF447F0BEF35E,7,
dialogue_105EB7,Nay mao hiem mang den bao cho tuong,F2D4F2FEF455F343F4E5F5E6F56BF0A5,8,
dialogue_105EF5,Phan tac vo le the,F24FF1B0F05DF376F161,5,
dialogue_105F09,Den truoc trai,F4E6F0B7F0D6,3,
dialogue_105F20,Ta muon ngai lam tien phong,F1B4F2DEF2CBF3A8F0F4F241,6,
dialogue_105F31,Chua luyen thuan thuc,F560F34FF148F145,4,
dialogue_105F4D,Neu quan ho luyen thuan,F2CFF1F3F44EF34FF148,5,
dialogue_105F7B,Ta sao trung ke,F1B4F1D1F0B8F3E4,4,
dialogue_105FD0,Minh cong khong can lo,F2F0F54FF3C4F5BEF367,5,
dialogue_106001,Ke nay kho thanh cong,F3E5F2D3F3CFF169F54F,5,
dialogue_10601F,Co the nhan co pha tuong thanh,F553F161F27EF552F254F0A5F169,7,
dialogue_106041,Ke kho nhu khong lua duoc ong,F3E5F3CFF271F3C4F35BF4BFF256,7,
